,url,date,user,tweet,tweet_id,followers_count,friends_count,statuses_count,location,reply_count,retweet_count,like_count,mentioned_user,score,label,clean_tweets
0,https://twitter.com/Sevy_R/status/1604473324171853825,2022-12-18 13:47:04,Sevy_R,"@nusantara_one Resesi 2008 juga parah tapi ga berasa di Indonesia, yg sekarang kok di besar2 kan kesannya. Ada maunya tuh...",1604473324171853825,88,202,2273,Babilonia,0,0,0,nusantara_one,0.9963229894638062,negative,nusantara one parah berasa indonesia kesannya maunya
1,https://twitter.com/independennews1/status/1604467754702352384,2022-12-18 13:24:56,independennews1,"DPRD Kota Batam Gelar Paripurna Hari Jadi Kota Batam ke 193, Nurnyato Ajak Seluruh Elemen Masyarakat Bersatu Lalui Resesi Ekonomi https://t.co/pRwxwU9P07 lewat @INDEPENDEN NEWS https://t.co/cWihMdUKHR",1604467754702352384,1008,4792,10955,"Kebayoran Baru, Indonesia",0,0,0,independen,0.9941232800483704,neutral,dprd kota batam gelar paripurna kota batam nurnyato ajak elemen masyarakat bersatu lalui ekonomi independen news cwihmdukhr
2,https://twitter.com/2207files/status/1604466544720744448,2022-12-18 13:20:08,2207files,Resesi di depan mata tapi hidup masih begini-begini aja nggak coba investasi. Huft.,1604466544720744448,4,53,107651,Flower Market.,0,0,0,,0.992032527923584,negative,mata hidup coba investasi huft
3,https://twitter.com/pojokpublik/status/1604461140813414400,2022-12-18 12:58:40,pojokpublik,"Gubernur Jawa Barat, Ridwan Kamil meyakini Indonesia khususnya Provinsi Jawa Barat terhindar dari resesi yang diisukan datang pada 2023.
https://t.co/ZmfQmA6Key
#bersamajuara #ridwankamil",1604461140813414400,267,26,339,Indonesia,0,0,0,,0.9884083867073059,neutral,gubernur jawa barat ridwan kamil indonesia provinsi jawa barat terhindar diisukan bersamajuara ridwankamil
5,https://twitter.com/renexsp/status/1604460381090742275,2022-12-18 12:55:38,renexsp,turun deh kayaknya gegara resesi jd $10k #AplikasiPintu #InvestasiCryptoJadiGampang https://t.co/boU7D8AVVe,1604460381090742275,4905,4955,1830,,0,0,0,,0.9682031273841858,neutral,turun kayaknya gegara aplikasipintu investasicryptojadigampang
6,https://twitter.com/pojokpublik/status/1604460345212702720,2022-12-18 12:55:30,pojokpublik,"Ajak Masyarakat Beli Produk Lokal, Ridwan Kamil: Jangan Panik, Insya Allah Resesi Tak Terjadi di Indonesia
https://t.co/CLgiMnsSu9
#bersamajuara #ridwankamil",1604460345212702720,267,26,339,Indonesia,0,0,0,,0.9629643559455872,neutral,ajak masyarakat beli produk lokal ridwan kamil panik insya allah indonesia bersamajuara ridwankamil
7,https://twitter.com/Rico_Kurniawan/status/1604459210623750145,2022-12-18 12:50:59,Rico_Kurniawan,"BlackRock mengatakan bersiaplah untuk resesi tidak seperti yang lain dan 'apa yang berhasil di masa lalu tidak akan berhasil sekarang'

""Resesi diramalkan karena bank sentral berlomba untuk mencoba menjinakkan inflasi. Ini kebalikan dari resesi masa lalu… https://t.co/QH5Nf1HiUU",1604459210623750145,9864,958,14390,Indonesia,0,0,0,,0.5562628507614136,neutral,blackrock bersiaplah berhasil berhasil diramalkan bank sentral berlomba mencoba menjinakkan inflasi kebalikan
8,https://twitter.com/SINDOnews/status/1604454669719216129,2022-12-18 12:32:57,SINDOnews,"Resesi Global Membayangi 2023, Dirut BNI: Kami Fokus Transformasi

 #Sindonews #BukanBeritaBiasa .https://t.co/8aYXH1UMBF",1604454669719216129,395697,184,1035863,"Jakarta Pusat, DKI Jakarta",0,0,0,,0.9959537982940674,neutral,global membayangi dirut bni fokus transformasi sindonews bukanberitabiasa
9,https://twitter.com/officialnova_id/status/1604453927126151168,2022-12-18 12:30:00,officialnova_id,"Nggak perlu bingung apalagi khawatir soal resesi, ibu rumah tangga dijamin cuan lewat 5 usaha sampingan yang bisa dilakukan.

https://t.co/ngzcGbLpxt",1604453927126151168,68469,29,202009,"JKT, Indonesia",0,0,0,,0.5659658908843994,positive,bingung khawatir rumah tangga dijamin cuan usaha sampingan ngzcgblpxt
10,https://twitter.com/yatim_sukses/status/1604451460938231808,2022-12-18 12:20:12,yatim_sukses,"Emg Indonesia tu susah kena resesi, buset ini kalangan menengah kebawah tu konsumtifnya bukan maen deh, mereka itu udah biasa lho hidup ga mikirin tabungan, kalangan ini tu suka bgt jajan, kalo punya anakpun mereka lebih prioritas jajan daripada makan pokok",1604451460938231808,946,881,16918,,3,8,21,,0.9849016070365906,negative,emg indonesia tu susah kena buset kalangan menengah kebawah tu konsumtifnya maen hidup mikirin tabungan kalangan tu suka jajan anakpun prioritas jajan makan pokok
